Time	Avg. Solid Temp. [K]	
0.7960303	314.33331
0.79606061	314.33127
0.79609091	314.32922
0.79612121	314.32718
0.79615152	314.32514
0.79618182	314.32309
0.79621212	314.32105
0.79624242	314.31901
0.79627273	314.31697
0.79630303	314.31492
0.79633333	314.31288
0.79636364	314.31084
0.79639394	314.3088
0.79642424	314.30676
0.79645455	314.30472
0.79648485	314.30268
0.79651515	314.30064
0.79654545	314.29861
0.79657576	314.29657
0.79660606	314.29453
0.79663636	314.29249
0.79666667	314.29046
0.79669697	314.28842
0.79672727	314.28639
0.79675758	314.28435
0.79678788	314.28232
0.79681818	314.28028
0.79684848	314.27825
0.79687879	314.27621
0.79690909	314.27418
0.79693939	314.27215
0.7969697	314.27011
0.797	314.26808
0.7970303	314.26605
0.79706061	314.26402
0.79709091	314.26199
0.79712121	314.25995
0.79715152	314.25792
0.79718182	314.25589
0.79721212	314.25386
0.79724242	314.25183
0.79727273	314.2498
0.79730303	314.24777
0.79733333	314.24574
0.79736364	314.24371
0.79739394	314.24168
0.79742424	314.23965
0.79745455	314.23763
0.79748485	314.2356
0.79751515	314.23357
0.79754545	314.23154
0.79757576	314.22951
0.79760606	314.22748
0.79763636	314.22546
0.79766667	314.22343
0.79769697	314.2214
0.79772727	314.21937
0.79775758	314.21735
0.79778788	314.21532
0.79781818	314.21329
0.79784848	314.21126
0.79787879	314.20924
0.79790909	314.20721
0.79793939	314.20518
0.7979697	314.20316
0.798	314.20113
0.7980303	314.19911
0.79806061	314.19708
0.79809091	314.19505
0.79812121	314.19303
0.79815152	314.191
0.79818182	314.18898
0.79821212	314.18695
0.79824242	314.18493
0.79827273	314.18291
0.79830303	314.18088
0.79833333	314.17886
0.79836364	314.17684
0.79839394	314.17481
0.79842424	314.17279
0.79845455	314.17077
0.79848485	314.16875
0.79851515	314.16672
0.79854545	314.1647
0.79857576	314.16268
0.79860606	314.16066
0.79863636	314.15864
0.79866667	314.15662
0.79869697	314.1546
0.79872727	314.15258
0.79875758	314.15057
0.79878788	314.14855
0.79881818	314.14653
0.79884848	314.14451
0.79887879	314.1425
0.79890909	314.14048
0.79893939	314.13846
0.7989697	314.13645
0.799	314.13443
0.7990303	314.13242
0.79906061	314.13041
0.79909091	314.12839
0.79912121	314.12638
0.79915152	314.12437
0.79918182	314.12235
0.79921212	314.12034
0.79924242	314.11833
0.79927273	314.11632
0.79930303	314.11431
0.79933333	314.1123
0.79936364	314.11029
0.79939394	314.10828
0.79942424	314.10627
0.79945455	314.10426
0.79948485	314.10225
0.79951515	314.10024
0.79954545	314.09823
0.79957576	314.09622
0.79960606	314.09422
0.79963636	314.09221
0.79966667	314.0902
0.79969697	314.08819
0.79972727	314.08619
0.79975758	314.08418
0.79978788	314.08217
0.79981818	314.08017
