Time	Avg. Solid Temp. [K]	
1.1764706e-05	999.95269
2.5882353e-05	999.89637
4.2677485e-05	999.82952
6.2621704e-05	999.75013
8.6056161e-05	999.65675
0.00011375143	999.54617
0.00014657545	999.41474
0.00018536748	999.25888
0.00022824287	999.08592
0.00026886167	998.92142
0.00030367778	998.77999
0.00033532879	998.65119
0.00036554112	998.52811
0.00039575344	998.40494
0.00042596577	998.2817
0.00045466748	998.16457
0.00048336919	998.04737
0.00051207091	997.93011
0.00054077262	997.81279
0.00056947433	997.6954
0.00059817604	997.57796
0.00062687775	997.46045
0.00065557946	997.34288
0.00068428117	997.22525
0.00071298289	997.10756
0.0007416846	996.98981
0.00077038631	996.87201
0.00079908802	996.75414
0.00082778973	996.63621
0.00085649144	996.51823
0.00088519315	996.40018
0.00091389487	996.28208
0.00094259658	996.16391
0.00097129829	996.04568
0.001	995.92739
0.001030303	995.80244
0.0010606061	995.67742
0.0010909091	995.55234
0.0011212121	995.42718
0.0011515152	995.30197
0.0011818182	995.17669
0.0012121212	995.05135
0.0012424242	994.92595
0.0012727273	994.80048
0.0013030303	994.67496
0.0013333333	994.54939
0.0013636364	994.42377
0.0013939394	994.2981
0.0014242424	994.1724
0.0014545455	994.04665
0.0014848485	993.92087
0.0015151515	993.79505
0.0015454545	993.66921
0.0015757576	993.54334
0.0016060606	993.41745
0.0016363636	993.29154
0.0016666667	993.16562
0.0016969697	993.03968
0.0017245179	992.92518
0.0017520661	992.81068
0.0017796143	992.69617
0.0018071625	992.58166
0.0018347107	992.46715
0.001862259	992.35264
0.0018898072	992.23814
0.0019173554	992.12364
0.0019449036	992.00914
0.0019724518	991.89465
0.002	991.78017
0.0020294118	991.65796
0.0020588235	991.53575
0.0020882353	991.41356
0.0021176471	991.29138
0.0021470588	991.16921
0.0021764706	991.04706
0.0022058824	990.92492
0.0022352941	990.80279
0.0022647059	990.68068
0.0022941176	990.55859
0.0023235294	990.43651
0.0023529412	990.31444
0.0023823529	990.1924
0.0024117647	990.07037
